date,network,iatv_id,program_name,n
2016-11-19,CNNW,CNNW_20161119_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-22,FOXNEWSW,FOXNEWSW_20160922_010000_The_Kelly_File,The Kelly File,0.0
2016-10-01,FOXNEWSW,FOXNEWSW_20161001_080000_The_Kelly_File,The Kelly File,6.0
2016-10-21,CNNW,CNNW_20161021_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-18,FOXNEWSW,FOXNEWSW_20161118_050000_The_Kelly_File,The Kelly File,0.0
2016-09-21,CNNW,CNNW_20160921_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-19,MSNBCW,MSNBCW_20161019_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,3.0
2016-11-18,CNNW,CNNW_20161118_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-30,CNNW,CNNW_20160930_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-01,FOXNEWSW,FOXNEWSW_20160901_010000_The_Kelly_File,The Kelly File,0.0
2016-09-22,FOXNEWSW,FOXNEWSW_20160922_080000_The_Kelly_File,The Kelly File,0.0
2016-09-23,FOXNEWSW,FOXNEWSW_20160923_010000_The_Kelly_File,The Kelly File,0.0
2016-11-17,FOXNEWSW,FOXNEWSW_20161117_050000_The_Kelly_File,The Kelly File,2.0
2016-11-17,CNNW,CNNW_20161117_020000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-06,FOXNEWSW,FOXNEWSW_20161006_030000_The_OReilly_Factor,The O'Reilly Factor,8.0
2016-09-21,CNNW,CNNW_20160921_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-27,CNNW,CNNW_20161027_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-16,FOXNEWSW,FOXNEWSW_20161116_040000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-10-21,CNNW,CNNW_20161021_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-09-30,MSNBCW,MSNBCW_20160930_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-10-19,FOXNEWSW,FOXNEWSW_20161019_040000_The_Kelly_File,The Kelly File,6.0
2016-10-06,CNNW,CNNW_20161006_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-11-03,CNNW,CNNW_20161103_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-28,MSNBCW,MSNBCW_20161028_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-18,MSNBCW,MSNBCW_20161118_090000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-07,CNNW,CNNW_20161007_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-17,CNNW,CNNW_20161117_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-10-22,CNNW,CNNW_20161022_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-03,MSNBCW,MSNBCW_20160903_100000_The_Rachel_Maddow_Show,The Rachel Maddow Show,3.0
2016-11-17,FOXNEWSW,FOXNEWSW_20161117_040000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-09-24,CNNW,CNNW_20160924_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-01,FOXNEWSW,FOXNEWSW_20161101_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-11-10,MSNBCW,MSNBCW_20161110_060000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-09-20,MSNBCW,MSNBCW_20160920_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-10-19,MSNBCW,MSNBCW_20161019_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-15,CNNW,CNNW_20161115_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-09-15,CNNW,CNNW_20160915_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-04,MSNBCW,MSNBCW_20161104_020000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,3.0
2016-09-14,CNNW,CNNW_20160914_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-13,MSNBCW,MSNBCW_20160913_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,2.0
2016-11-23,FOXNEWSW,FOXNEWSW_20161123_010000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-10-12,CNNW,CNNW_20161012_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-03,CNNW,CNNW_20161103_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-18,CNNW,CNNW_20161118_020000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-28,FOXNEWSW,FOXNEWSW_20160928_030000_The_OReilly_Factor,The O'Reilly Factor,6.0
2016-11-01,FOXNEWSW,FOXNEWSW_20161101_040000_The_Kelly_File,The Kelly File,2.0
2016-10-01,MSNBCW,MSNBCW_20161001_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-11-24,MSNBCW,MSNBCW_20161124_030000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-10-14,FOXNEWSW,FOXNEWSW_20161014_080000_The_Kelly_File,The Kelly File,5.0
2016-10-20,FOXNEWSW,FOXNEWSW_20161020_030000_The_Kelly_File,The Kelly File,3.0
2016-11-19,MSNBCW,MSNBCW_20161119_110000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-19,FOXNEWSW,FOXNEWSW_20161119_090000_The_Kelly_File,The Kelly File,0.0
2016-10-01,FOXNEWSW,FOXNEWSW_20161001_000000_The_OReilly_Factor,The O'Reilly Factor,10.0
2016-09-10,MSNBCW,MSNBCW_20160910_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-17,FOXNEWSW,FOXNEWSW_20161117_020000_The_Kelly_File,The Kelly File,0.0
2016-10-05,FOXNEWSW,FOXNEWSW_20161005_000000_The_OReilly_Factor,The O'Reilly Factor,8.0
2016-10-29,FOXNEWSW,FOXNEWSW_20161029_000000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-09-15,CNNW,CNNW_20160915_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-10-25,CNNW,CNNW_20161025_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-07,MSNBCW,MSNBCW_20160907_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-04,CNNW,CNNW_20161104_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-26,FOXNEWSW,FOXNEWSW_20161026_030000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-11-03,FOXNEWSW,FOXNEWSW_20161103_030000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-10-22,CNNW,CNNW_20161022_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-02,FOXNEWSW,FOXNEWSW_20161102_030000_The_OReilly_Factor,The O'Reilly Factor,3.0
2016-10-21,FOXNEWSW,FOXNEWSW_20161021_040000_The_Kelly_File,The Kelly File,4.0
2016-10-08,FOXNEWSW,FOXNEWSW_20161008_080000_The_Kelly_File,The Kelly File,1.0
2016-11-05,CNNW,CNNW_20161105_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-26,MSNBCW,MSNBCW_20161026_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-09-21,MSNBCW,MSNBCW_20160921_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-10-12,CNNW,CNNW_20161012_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,8.0
2016-10-07,MSNBCW,MSNBCW_20161007_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-30,FOXNEWSW,FOXNEWSW_20161130_040000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-09-14,MSNBCW,MSNBCW_20160914_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-10-26,CNNW,CNNW_20161026_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-16,CNNW,CNNW_20161116_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-09-03,CNNW,CNNW_20160903_000000_Anderson_Cooper_360,Anderson Cooper 360,2.0
2016-11-10,FOXNEWSW,FOXNEWSW_20161110_050000_The_Kelly_File,The Kelly File,0.0
2016-09-26,FOXNEWSW,FOXNEWSW_20160926_060000_The_Kelly_File,The Kelly File,0.0
2016-09-02,CNNW,CNNW_20160902_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-11-12,MSNBCW,MSNBCW_20161112_110000_The_Rachel_Maddow_Show,The Rachel Maddow Show,1.0
2016-11-22,FOXNEWSW,FOXNEWSW_20161122_040000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-11-29,CNNW,CNNW_20161129_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-17,CNNW,CNNW_20161017_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,3.0
2016-09-24,MSNBCW,MSNBCW_20160924_010000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-16,CNNW,CNNW_20160916_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-30,MSNBCW,MSNBCW_20160930_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-10,FOXNEWSW,FOXNEWSW_20161010_000000_The_OReilly_Factor,The O'Reilly Factor,12.0
2016-10-27,CNNW,CNNW_20161027_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,5.0
2016-10-11,FOXNEWSW,FOXNEWSW_20161011_040000_The_Kelly_File,The Kelly File,6.0
2016-10-25,CNNW,CNNW_20161025_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-02,FOXNEWSW,FOXNEWSW_20160902_010000_The_Kelly_File,The Kelly File,1.0
2016-09-08,CNNW,CNNW_20160908_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-10,FOXNEWSW,FOXNEWSW_20161110_070000_The_OReilly_Factor,The O'Reilly Factor,3.0
2016-09-14,FOXNEWSW,FOXNEWSW_20160914_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-09-13,FOXNEWSW,FOXNEWSW_20160913_040000_The_Kelly_File,The Kelly File,1.0
2016-11-12,CNNW,CNNW_20161112_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-02,MSNBCW,MSNBCW_20160902_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,1.0
2016-11-24,MSNBCW,MSNBCW_20161124_020000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-02,CNNW,CNNW_20160902_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-11,CNNW,CNNW_20161111_020000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-17,MSNBCW,MSNBCW_20161117_090000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-01,CNNW,CNNW_20160901_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-24,MSNBCW,MSNBCW_20160924_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,0.0
2016-10-15,FOXNEWSW,FOXNEWSW_20161015_010000_The_Kelly_File,The Kelly File,0.0
2016-09-28,CNNW,CNNW_20160928_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-29,FOXNEWSW,FOXNEWSW_20160929_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-10-28,CNNW,CNNW_20161028_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-21,MSNBCW,MSNBCW_20160921_070000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-16,CNNW,CNNW_20160916_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-15,CNNW,CNNW_20161115_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-07,CNNW,CNNW_20160907_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-20,CNNW,CNNW_20161020_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-11-23,CNNW,CNNW_20161123_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-09-28,MSNBCW,MSNBCW_20160928_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,2.0
2016-09-01,MSNBCW,MSNBCW_20160901_040000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-09-15,MSNBCW,MSNBCW_20160915_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,2.0
2016-09-14,CNNW,CNNW_20160914_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,2.0
2016-11-30,CNNW,CNNW_20161130_000000_Erin_Burnett_OutFront,Erin Burnett OutFront,0.0
2016-11-22,CNNW,CNNW_20161122_020000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-28,CNNW,CNNW_20160928_000000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-22,CNNW,CNNW_20160922_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,2.0
2016-09-22,CNNW,CNNW_20160922_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-09,MSNBCW,MSNBCW_20160909_050000_The_Last_Word_With_Lawrence_ODonnell,The Last Word With Lawrence O'Donnell,6.0
2016-10-06,FOXNEWSW,FOXNEWSW_20161006_080000_The_Kelly_File,The Kelly File,0.0
2016-09-20,FOXNEWSW,FOXNEWSW_20160920_040000_The_Kelly_File,The Kelly File,1.0
2016-10-11,CNNW,CNNW_20161011_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-15,FOXNEWSW,FOXNEWSW_20161115_010000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-10-18,CNNW,CNNW_20161018_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-07,FOXNEWSW,FOXNEWSW_20160907_000000_The_OReilly_Factor,The O'Reilly Factor,2.0
2016-11-22,MSNBCW,MSNBCW_20161122_050000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-10-25,FOXNEWSW,FOXNEWSW_20161025_080000_The_Kelly_File,The Kelly File,0.0
2016-11-23,CNNW,CNNW_20161123_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-08,CNNW,CNNW_20161108_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-02,FOXNEWSW,FOXNEWSW_20160902_040000_The_Kelly_File,The Kelly File,0.0
2016-09-09,CNNW,CNNW_20160909_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
2016-09-10,FOXNEWSW,FOXNEWSW_20160910_010000_The_Kelly_File,The Kelly File,0.0
2016-10-01,CNNW,CNNW_20161001_010000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-13,FOXNEWSW,FOXNEWSW_20161013_000000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-09-27,CNNW,CNNW_20160927_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,6.0
2016-09-28,CNNW,CNNW_20160928_050000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-10-28,CNNW,CNNW_20161028_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-11-23,MSNBCW,MSNBCW_20161123_090000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-19,FOXNEWSW,FOXNEWSW_20161119_010000_The_OReilly_Factor,The O'Reilly Factor,1.0
2016-09-23,CNNW,CNNW_20160923_040000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-01,FOXNEWSW,FOXNEWSW_20160901_030000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-11-15,CNNW,CNNW_20161115_060000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-14,FOXNEWSW,FOXNEWSW_20160914_080000_The_Kelly_File,The Kelly File,2.0
2016-09-08,FOXNEWSW,FOXNEWSW_20160908_000000_The_OReilly_Factor,The O'Reilly Factor,0.0
2016-10-13,MSNBCW,MSNBCW_20161013_080000_The_Rachel_Maddow_Show,The Rachel Maddow Show,0.0
2016-11-24,CNNW,CNNW_20161124_020000_Anderson_Cooper_360,Anderson Cooper 360,0.0
2016-09-27,FOXNEWSW,FOXNEWSW_20160927_030000_The_Kelly_File,The Kelly File,4.0
2016-11-02,CNNW,CNNW_20161102_230000_Erin_Burnett_OutFront,Erin Burnett OutFront,1.0
